artist.name,track.name,album.name,album.type,popularity,type,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
BTS,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,album,84,boy group,0.645,0.862,11,-4.757,0.0965,0.0923,0,0.192,0.798,119.991,4,B,minor,B minor
K/DA,POP/STARS,POP/STARS,single,79,girl group,0.566,0.769,7,-4.342,0.0872,0.0183,0,0.108,0.385,170.036,4,G,major,G major
BLACKPINK,DDU-DU DDU-DU,SQUARE UP,single,78,girl group,0.671,0.859,4,-3.922,0.0833,0.0323,0,0.267,0.389,139.931,4,E,minor,E minor
BLACKPINK,As If It's Your Last,As If It's Your Last,single,78,girl group,0.786,0.853,8,-2.687,0.0816,0.0688,0,0.0759,0.45,125.034,4,G#,major,G# major
BLACKPINK,BOOMBAYAH,SQUARE ONE,single,77,girl group,0.658,0.836,5,-3.282,0.0549,0.00264,1.02e-6,0.507,0.387,124.969,4,F,minor,F minor
BTS,Mikrokosmos,MAP OF THE SOUL : PERSONA,album,76,boy group,0.58,0.858,8,-5.212,0.114,0.125,0,0.0502,0.475,174.039,3,G#,major,G# major
BLACKPINK,PLAYING WITH FIRE,SQUARE TWO,single,76,girl group,0.707,0.758,4,-4.511,0.0917,0.0399,0,0.141,0.674,97.037,4,E,minor,E minor
JENNIE,SOLO,SOLO,single,74,female solo,0.751,0.642,3,-5.165,0.087,0.0861,0,0.0953,0.388,95.045,4,D#,minor,D# minor
iKON,LOVE SCENARIO,Return,album,74,boy group,0.806,0.707,7,-4.623,0.0307,0.331,0,0.294,0.746,118.011,4,G,major,G major
BTS,FAKE LOVE,Love Yourself 轉 'Tear',album,74,boy group,0.557,0.719,2,-4.515,0.0372,0.00267,0,0.306,0.344,77.501,4,D,minor,D minor
EXO,Love Shot,LOVE SHOT– The 5th Album Repackage,album,73,boy group,0.689,0.678,5,-4.287,0.119,0.0702,0,0.0889,0.335,145.883,4,F,minor,F minor
SHAUN,Way Back Home,Take,single,73,male solo,0.745,0.739,10,-4.591,0.0327,0.405,1.83e-4,0.127,0.556,99.913,4,A#,major,A# major
Red Velvet,Bad Boy,The Perfect Red Velvet - The 2nd Album Repackage,album,72,girl group,0.714,0.736,2,-3.801,0.0457,0.191,0,0.0553,0.814,149.985,4,D,major,D major
BLACKPINK,Kill This Love,Kill This Love,single,71,girl group,0.738,0.861,2,-4.141,0.237,0.318,0.00182,0.325,0.58,131.98,4,D,major,D major
IU,BBIBBI,BBIBBI,single,71,female solo,0.839,0.617,7,-4.692,0.331,0.241,0,0.3,0.821,143.894,4,G,major,G major
BLACKPINK,Forever Young,SQUARE UP,single,70,girl group,0.6,0.96,4,-1.807,0.095,0.0426,0,0.0882,0.503,109.863,4,E,major,E major
SUNMI,Gashina,SUNMI SPECIAL EDITION [Gashina],single,70,female solo,0.722,0.833,6,-3.915,0.094,0.0556,0,0.195,0.53,93.941,4,F#,major,F# major
EVERGLOW,Adios,HUSH,single,70,girl group,0.633,0.706,10,-5.137,0.0627,5.87e-4,0.0795,0.245,0.399,128.187,4,A#,minor,A# minor
SuperM,Jopping,SuperM - The 1st Mini Album,album,69,boy group,0.74,0.835,10,-3.425,0.0839,0.0139,0,0.857,0.535,123.024,4,A#,minor,A# minor
BTS,Heartbeat (BTS World Original Soundtrack),BTS WORLD (Original Soundtrack),compilation,69,boy group,0.437,0.716,5,-4.306,0.05,0.39,0,0.208,0.307,170.094,4,F,major,F major
BLACKPINK,Don't Know What To Do,Kill This Love,single,69,girl group,0.628,0.64,6,-4.164,0.0491,0.0992,0,0.138,0.409,129.815,4,F#,minor,F# minor
BTS,IDOL,Love Yourself 結 'Answer',album,69,boy group,0.709,0.857,9,-3.394,0.0881,0.00219,0,0.103,0.446,126.038,4,A,major,A major
Red Velvet,Peek-A-Boo,Perfect Velvet - The 2nd Album,album,69,girl group,0.839,0.902,1,-3.612,0.0536,0.0868,0.00257,0.272,0.639,114.953,4,C#,minor,C# minor
MAMAMOO,Egotistic,RED MOON,single,69,girl group,0.616,0.833,3,-3.314,0.067,0.315,0,0.175,0.595,97.898,4,D#,minor,D# minor
SOMI,BIRTHDAY,BIRTHDAY,single,68,female solo,0.687,0.843,7,-4.242,0.109,0.0163,9.96e-6,0.0372,0.597,180.055,4,G,major,G major
PENTAGON,Shine,Positive,single,68,boy group,0.74,0.804,3,-2.187,0.0546,0.411,0,0.0578,0.791,150.013,4,D#,major,D# major
MOMOLAND,BBoom BBoom,GREAT!,single,68,girl group,0.785,0.744,3,-4.249,0.0369,0.0149,0.00666,0.0661,0.833,126.018,4,D#,minor,D# minor
IZ*ONE,La Vie en Rose,COLOR*IZ,album,67,girl group,0.698,0.908,9,-1.211,0.0548,0.0899,0,0.115,0.606,115.975,4,A,minor,A minor
CHUNG HA,Gotta Go,Gotta Go,single,67,female solo,0.53,0.829,3,-2.526,0.0445,0.0741,0,0.0993,0.423,101.85,4,D#,minor,D# minor
TWICE,Feel Special,Feel Special,album,66,girl group,0.709,0.959,1,-1.339,0.0603,0.0296,0.00188,0.107,0.644,128.983,4,C#,major,C# major
CHUNG HA,Snapping,Flourishing,single,66,female solo,0.751,0.726,8,-3.499,0.038,0.0706,3.42e-6,0.278,0.581,104.914,4,G#,minor,G# minor
SEVENTEEN,Home,SEVENTEEN 6TH MINI ALBUM 'YOU MADE MY DAWN',single,66,boy group,0.741,0.547,9,-5.029,0.253,0.427,0,0.0931,0.615,87.977,4,A,major,A major
(G)I-DLE,LATATA,I am,single,66,girl group,0.774,0.792,9,-4.019,0.224,0.00427,1.15e-6,0.283,0.505,98.1,4,A,minor,A minor
NCT 127,Simon Says,NCT #127 Regulate - The 1st Album Repackage,album,65,boy group,0.653,0.836,9,-6.018,0.238,0.218,0,0.0507,0.569,151.977,4,A,major,A major
The Rose,She's In The Rain,Dawn,single,65,boy band,0.36,0.533,3,-4.394,0.0302,0.375,0,0.0768,0.421,92.854,4,D#,major,D# major
RM,forever rain,mono.,album,65,male solo,0.389,0.591,7,-8.437,0.0622,0.0307,6.53e-5,0.392,0.252,138.902,4,G,major,G major
ATEEZ,Say My Name,TREASURE EP.2: Zero To One,single,65,boy group,0.634,0.9,6,-2.614,0.0583,0.212,0,0.317,0.623,152.968,4,F#,minor,F# minor
(G)I-DLE,HANN (Alone),HANN (Alone),single,65,girl group,0.709,0.718,6,-3.315,0.0312,0.059,0,0.167,0.24,104.971,4,F#,minor,F# minor
SEVENTEEN,Fear,An Ode,album,64,boy group,0.592,0.946,7,-2.699,0.327,0.16,0,0.139,0.705,146.037,4,G,minor,G minor
(G)I-DLE,Uh-Oh,Uh-Oh,single,64,girl group,0.781,0.814,11,-3.315,0.0648,0.0586,0,0.118,0.782,92.037,4,B,minor,B minor
LOONA,Butterfly,[X X],single,64,girl group,0.582,0.866,7,-4.139,0.0414,0.0427,1.4e-4,0.126,0.351,107.021,4,G,minor,G minor
