,artist.name,track.name,album.name,album.type,popularity,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
1,Lewis Capaldi,Someone You Loved,Divinely Uninspired To A Hellish Extent,album,91,pop,0.501,0.405,1,-5.679,0.0319,0.751,0,0.105,0.446,109.891,4,C#,major,C# major
2,Post Malone,Circles,Hollywood's Bleeding,album,90,pop,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,C,major,C major
3,Tones And I,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,single,89,pop,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,4,F#,minor,F# minor
4,Maroon 5,Memories,Memories,single,89,pop,0.764,0.32,11,-7.209,0.0546,0.837,0,0.0822,0.575,91.019,4,B,major,B major
5,Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,88,pop,0.701,0.425,7,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,4,G,major,G major
6,Ariana Grande,7 rings,"thank u, next",album,87,pop,0.778,0.317,1,-10.732,0.334,0.592,0,0.0881,0.327,140.048,4,C#,minor,C# minor
7,Arizona Zervas,ROXANNE,ROXANNE,single,87,pop,0.621,0.601,6,-5.616,0.148,0.0522,0,0.46,0.457,116.735,5,F#,minor,F# minor
8,Dua Lipa,Don't Start Now,Don't Start Now,single,86,pop,0.794,0.793,11,-4.521,0.0842,0.0125,0,0.0952,0.677,123.941,4,B,minor,B minor
9,Alec Benjamin,Let Me Down Slowly,Narrated For You,album,85,pop,0.652,0.557,1,-5.714,0.0318,0.74,0,0.124,0.483,150.073,4,C#,minor,C# minor
10,Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),single,84,pop,0.741,0.52,8,-7.513,0.0656,0.45,1.97E-06,0.222,0.347,102.998,4,G#,major,G# major
11,Lil Tecca,Ransom,We Love You Tecca,album,84,pop,0.745,0.642,7,-6.257,0.287,0.0204,0,0.0658,0.226,179.974,4,G,minor,G minor
12,Jonas Brothers,Sucker,Happiness Begins,album,84,pop,0.842,0.734,1,-5.065,0.0588,0.0427,0,0.106,0.952,137.958,4,C#,minor,C# minor
13,Chris Brown,No Guidance (feat. Drake),Indigo,album,84,pop,0.698,0.454,1,-6.756,0.151,0.123,0,0.155,0.137,92.932,4,C#,minor,C# minor
14,Lil Nas X,Old Town Road - Remix,7 EP,single,83,pop,0.878,0.619,6,-5.56,0.102,0.0533,0,0.113,0.639,136.041,4,F#,major,F# major
15,Shawn Mendes,Señorita,Shawn Mendes (Deluxe),album,82,pop,0.759,0.548,9,-6.049,0.029,0.0392,0,0.0828,0.749,116.967,4,A,minor,A minor
16,J. Cole,MIDDLE CHILD,MIDDLE CHILD,single,82,pop,0.837,0.364,8,-11.713,0.276,0.149,0,0.271,0.463,123.984,4,G#,major,G# major
17,Y2K,Lalala,Lalala,single,82,pop,0.843,0.391,2,-7.899,0.0845,0.181,0,0.137,0.496,129.972,4,D,major,D major
18,"Tyler, The Creator",EARFQUAKE,IGOR,album,81,pop,0.554,0.498,9,-8.866,0.0685,0.23,5.98E-06,0.795,0.413,79.635,4,A,major,A major
19,Billie Eilish,bury a friend,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,81,pop,0.905,0.389,8,-14.505,0.332,0.74,0.162,0.106,0.196,120.046,4,G#,major,G# major
20,Mabel,Don't Call Me Up,Ivy To Roses (Mixtape),album,81,pop,0.674,0.881,9,-2.853,0.147,0.296,3.01E-06,0.0793,0.234,98.994,4,A,major,A major
21,Dominic Fike,3 Nights,"Don't Forget About Me, Demos",single,80,pop,0.815,0.518,7,-6.594,0.0897,0.223,0,0.104,0.877,151.891,4,G,minor,G minor
22,Ariana Grande,"break up with your girlfriend, i'm bored","thank u, next",album,80,pop,0.726,0.554,5,-5.29,0.0917,0.0421,0,0.106,0.335,169.999,4,F,minor,F minor
23,BLACKPINK,Kill This Love,KILL THIS LOVE,single,80,pop,0.738,0.861,2,-4.141,0.237,0.32,0.00175,0.325,0.58,131.974,4,D,major,D major
24,DaBaby,Suge,Baby On Baby,album,79,pop,0.876,0.662,2,-6.482,0.426,0.0608,0,0.127,0.844,75.445,4,D,minor,D minor
25,Bazzi,Paradise,Soul Searching,album,79,pop,0.844,0.644,11,-6.273,0.0479,0.0828,0,0.113,0.591,122.061,4,B,minor,B minor
