playlist_id,playlist_name,playlist_img,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,analysis_url,time_signature,added_at,is_local,primary_color,added_by.href,added_by.id,added_by.type,added_by.uri,added_by.external_urls.spotify,href,id,name,type,uri,external_urls.spotify,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.href,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,BTS,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,1,229773,FALSE,FALSE,https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c,FALSE,Boy With Luv (feat. Halsey),84,https://p.scdn.co/mp3-preview/d16797fb391fb909f3c46454d7cf89a2718f8171?cid=3aae041578b64519942b572adc41f54b,TRUE,2,track,spotify:track:5KawlOMHjWeUjQtnuRs22c,album,https://api.spotify.com/v1/albums/1AvXa8xFEXtR3hb4bgihIK,1AvXa8xFEXtR3hb4bgihIK,MAP OF THE SOUL : PERSONA,2019-04-12,day,7,album,spotify:album:1AvXa8xFEXtR3hb4bgihIK,https://open.spotify.com/album/1AvXa8xFEXtR3hb4bgihIK,QM6MZ1917908,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,NA,B,minor,B minor
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2,26VFTg2z8YR0cCuwLzESi2,Halsey,artist,spotify:artist:26VFTg2z8YR0cCuwLzESi2,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,1,229773,FALSE,FALSE,https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c,FALSE,Boy With Luv (feat. Halsey),84,https://p.scdn.co/mp3-preview/d16797fb391fb909f3c46454d7cf89a2718f8171?cid=3aae041578b64519942b572adc41f54b,TRUE,2,track,spotify:track:5KawlOMHjWeUjQtnuRs22c,album,https://api.spotify.com/v1/albums/1AvXa8xFEXtR3hb4bgihIK,1AvXa8xFEXtR3hb4bgihIK,MAP OF THE SOUL : PERSONA,2019-04-12,day,7,album,spotify:album:1AvXa8xFEXtR3hb4bgihIK,https://open.spotify.com/album/1AvXa8xFEXtR3hb4bgihIK,QM6MZ1917908,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,NA,B,minor,B minor
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,0M98PvIvx7vZ8LDpzMw1hB,https://api.spotify.com/v1/audio-analysis/0M98PvIvx7vZ8LDpzMw1hB,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/41MozSoPIsD1dJM0CLPjZF,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,artist,spotify:artist:41MozSoPIsD1dJM0CLPjZF,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,1,189052,FALSE,FALSE,https://api.spotify.com/v1/tracks/0M98PvIvx7vZ8LDpzMw1hB,FALSE,Kill This Love,71,https://p.scdn.co/mp3-preview/2ce279f37a3269fcade683fb1d6d45abc2617f8a?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:0M98PvIvx7vZ8LDpzMw1hB,single,https://api.spotify.com/v1/albums/2Pz8VAMiGc9UW1rrbBRDuO,2Pz8VAMiGc9UW1rrbBRDuO,Kill This Love,2019-04-05,day,5,album,spotify:album:2Pz8VAMiGc9UW1rrbBRDuO,https://open.spotify.com/album/2Pz8VAMiGc9UW1rrbBRDuO,KRA401900005,https://open.spotify.com/track/0M98PvIvx7vZ8LDpzMw1hB,NA,D,major,D major
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.709,0.959,1,-1.339,1,0.0603,0.0296,0.00188,0.107,0.644,128.983,0u7aRGM7YmvtsmG5NSrNsO,https://api.spotify.com/v1/audio-analysis/0u7aRGM7YmvtsmG5NSrNsO,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7n2Ycct7Beij7Dj7meI4X0,7n2Ycct7Beij7Dj7meI4X0,TWICE,artist,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,1,206868,FALSE,FALSE,https://api.spotify.com/v1/tracks/0u7aRGM7YmvtsmG5NSrNsO,FALSE,Feel Special,5,NA,TRUE,1,track,spotify:track:0u7aRGM7YmvtsmG5NSrNsO,album,https://api.spotify.com/v1/albums/4EG4E0Uk0HpJBgOMgXI26z,4EG4E0Uk0HpJBgOMgXI26z,Feel Special,2019-09-23,day,7,album,spotify:album:4EG4E0Uk0HpJBgOMgXI26z,https://open.spotify.com/album/4EG4E0Uk0HpJBgOMgXI26z,US5TA1900074,https://open.spotify.com/track/0u7aRGM7YmvtsmG5NSrNsO,NA,C#,major,C# major
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.704,0.729,7,-3.851,1,0.0624,0.0024,0,0.218,0.71,129.992,7fK0csBoqbcgUuWGV0cpoD,https://api.spotify.com/v1/audio-analysis/7fK0csBoqbcgUuWGV0cpoD,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/3cjEqqelV9zb4BYE3qDQ4O,3cjEqqelV9zb4BYE3qDQ4O,EXO,artist,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,https://open.spotify.com/artist/3cjEqqelV9zb4BYE3qDQ4O,1,203520,FALSE,FALSE,https://api.spotify.com/v1/tracks/7fK0csBoqbcgUuWGV0cpoD,FALSE,Obsession,70,https://p.scdn.co/mp3-preview/6f67fcff150ac3e130cd129c2aafdcce63293e19?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:7fK0csBoqbcgUuWGV0cpoD,album,https://api.spotify.com/v1/albums/7uNyF6MKaVHi5TJqIiNobm,7uNyF6MKaVHi5TJqIiNobm,OBSESSION - The 6th Album,2019-11-27,day,10,album,spotify:album:7uNyF6MKaVHi5TJqIiNobm,https://open.spotify.com/album/7uNyF6MKaVHi5TJqIiNobm,KRA301900545,https://open.spotify.com/track/7fK0csBoqbcgUuWGV0cpoD,NA,G,major,G major
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.68,0.878,5,-4.791,0,0.179,0.0028,2.22e-5,0.336,0.531,127.991,0GUbhhI5fRx7BlqlqlhjuB,https://api.spotify.com/v1/audio-analysis/0GUbhhI5fRx7BlqlqlhjuB,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/1z4g3DjTBBZKhvAroFlhOM,1z4g3DjTBBZKhvAroFlhOM,Red Velvet,artist,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,https://open.spotify.com/artist/1z4g3DjTBBZKhvAroFlhOM,1,190859,FALSE,FALSE,https://api.spotify.com/v1/tracks/0GUbhhI5fRx7BlqlqlhjuB,FALSE,Zimzalabim,61,https://p.scdn.co/mp3-preview/7c8470565e0b358810d88dca63e388f858f5150a?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:0GUbhhI5fRx7BlqlqlhjuB,single,https://api.spotify.com/v1/albums/2nLEiP268mSFZHW5dajM4R,2nLEiP268mSFZHW5dajM4R,‘The ReVe Festival’ Day 1,2019-06-19,day,6,album,spotify:album:2nLEiP268mSFZHW5dajM4R,https://open.spotify.com/album/2nLEiP268mSFZHW5dajM4R,KRA301900257,https://open.spotify.com/track/0GUbhhI5fRx7BlqlqlhjuB,NA,F,minor,F minor
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.616,0.908,9,-3.97,0,0.26,0.0861,0,0.129,0.658,130.048,7fMr8hvwXVWO36ZD24HBeR,https://api.spotify.com/v1/audio-analysis/7fMr8hvwXVWO36ZD24HBeR,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7nqOGRxlXj7N2JYbgNEjYH,7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,artist,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH,https://open.spotify.com/artist/7nqOGRxlXj7N2JYbgNEjYH,1,203506,FALSE,FALSE,https://api.spotify.com/v1/tracks/7fMr8hvwXVWO36ZD24HBeR,FALSE,HIT,60,https://p.scdn.co/mp3-preview/197d72fe8151ac5dc77cd4a666db32b6c8639b9f?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:7fMr8hvwXVWO36ZD24HBeR,album,https://api.spotify.com/v1/albums/4btxaakgIaE1AkXqpReLwd,4btxaakgIaE1AkXqpReLwd,An Ode,2019-09-16,day,11,album,spotify:album:4btxaakgIaE1AkXqpReLwd,https://open.spotify.com/album/4btxaakgIaE1AkXqpReLwd,KRA491900542,https://open.spotify.com/track/7fMr8hvwXVWO36ZD24HBeR,NA,A,minor,A minor
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.716,0.814,5,-2.889,0,0.35,0.0486,0,0.607,0.575,146.925,7vZseKiQOIuFxxfi84302k,https://api.spotify.com/v1/audio-analysis/7vZseKiQOIuFxxfi84302k,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/2dIgFjalVxs4ThymZ67YCE,2dIgFjalVxs4ThymZ67YCE,Stray Kids,artist,spotify:artist:2dIgFjalVxs4ThymZ67YCE,https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,1,189771,FALSE,FALSE,https://api.spotify.com/v1/tracks/7vZseKiQOIuFxxfi84302k,FALSE,Double Knot,60,https://p.scdn.co/mp3-preview/a242adc9381566dc0bfd7a1981b818de97855399?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:7vZseKiQOIuFxxfi84302k,single,https://api.spotify.com/v1/albums/3SoaVGrOhUhSSdaanMdbbI,3SoaVGrOhUhSSdaanMdbbI,Double Knot,2019-10-09,day,1,album,spotify:album:3SoaVGrOhUhSSdaanMdbbI,https://open.spotify.com/album/3SoaVGrOhUhSSdaanMdbbI,US5TA1900081,https://open.spotify.com/track/7vZseKiQOIuFxxfi84302k,NA,F,minor,F minor
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.642,0.729,6,-5.005,1,0.056,0.0297,0,0.102,0.536,112.966,12ksjJ2DDQZu0a1fvJnTRE,https://api.spotify.com/v1/audio-analysis/12ksjJ2DDQZu0a1fvJnTRE,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/7f4ignuCJhLXfZ9giKT7rH,7f4ignuCJhLXfZ9giKT7rH,NCT 127,artist,spotify:artist:7f4ignuCJhLXfZ9giKT7rH,https://open.spotify.com/artist/7f4ignuCJhLXfZ9giKT7rH,1,200573,FALSE,FALSE,https://api.spotify.com/v1/tracks/12ksjJ2DDQZu0a1fvJnTRE,FALSE,Highway to Heaven,50,https://p.scdn.co/mp3-preview/a371115230b3ad08830b8c1d103f2e74cd52351d?cid=3aae041578b64519942b572adc41f54b,TRUE,1,track,spotify:track:12ksjJ2DDQZu0a1fvJnTRE,single,https://api.spotify.com/v1/albums/15DNWLVXy5ES2USQ1PFnF5,15DNWLVXy5ES2USQ1PFnF5,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,2019-05-24,day,6,album,spotify:album:15DNWLVXy5ES2USQ1PFnF5,https://open.spotify.com/album/15DNWLVXy5ES2USQ1PFnF5,KRA301900191,https://open.spotify.com/track/12ksjJ2DDQZu0a1fvJnTRE,NA,F#,major,F# major
37i9dQZF1DWTY99d0AYptp,Top K-Pop Artists of 2019,https://i.scdn.co/image/ab67706f00000003cf6cf9223c41a4279770937f,Spotify,spotify,0.76,0.672,9,-5.277,0,0.0732,0.465,0,0.205,0.505,127.986,36wruYZk4V9sWeUzR3rB74,https://api.spotify.com/v1/audio-analysis/36wruYZk4V9sWeUzR3rB74,4,2019-12-03T23:01:00Z,FALSE,NA,https://api.spotify.com/v1/users/,,user,spotify:user:,https://open.spotify.com/user/,https://api.spotify.com/v1/artists/5qRSs6mvI17zrkJpOHkCoM,5qRSs6mvI17zrkJpOHkCoM,iKON,artist,spotify:artist:5qRSs6mvI17zrkJpOHkCoM,https://open.spotify.com/artist/5qRSs6mvI17zrkJpOHkCoM,1,193733,FALSE,FALSE,https://api.spotify.com/v1/tracks/36wruYZk4V9sWeUzR3rB74,FALSE,KILLING ME,61,https://p.scdn.co/mp3-preview/08c8c2b28097f93de65bcf9e2f7cd722f838669d?cid=3aae041578b64519942b572adc41f54b,TRUE,4,track,spotify:track:36wruYZk4V9sWeUzR3rB74,compilation,https://api.spotify.com/v1/albums/2e2VfakLM318HT1VaJsKq2,2e2VfakLM318HT1VaJsKq2,NEW KIDS REPACKAGE : THE NEW KIDS,2019-01-07,day,23,album,spotify:album:2e2VfakLM318HT1VaJsKq2,https://open.spotify.com/album/2e2VfakLM318HT1VaJsKq2,KRA401800118,https://open.spotify.com/track/36wruYZk4V9sWeUzR3rB74,NA,A,minor,A minor
