"","artist","album"
"1","(G)I-DLE","Uh-Oh"
"2","BLACKPINK","As If It's Your Last"
"3","BOL4","Puberty BookⅠ Bom"
"4","BTS","All Night (BTS World Original Soundtrack) [Pt. 3]"
"5","BTS","Love Yourself 結 'Answer'"
"6","BTS","Love Yourself 轉 'Tear'"
"7","CHEN","Dear my dear - The 2nd Mini Album"
"8","CHUNG HA","Gotta Go"
"9","EXO","DON’T MESS UP MY TEMPO – The 5th Album"
"10","EXO","LOVE SHOT– The 5th Album Repackage"
"11","GFRIEND","GFRIEND The 7th Mini Album `FEVER SEASON`"
"12","HEIZE","We don’t talk together"
"13","iKON","NEW KIDS REPACKAGE : THE NEW KIDS"
"14","IZ*ONE","COLOR*IZ"
"15","IZ*ONE","HEART*IZ"
"16","j-hope","Chicken Noodle Soup (feat. Becky G)"
"17","Jay Park","K-TOWN"
"18","JENNIE","SOLO"
"19","KARD","KARD 2nd Digital Single ‘Dumb Litty’"
"20","LeeHi","24℃"
"21","MAMAMOO","White Wind"
"22","NCT DREAM","We Boom - The 3rd Mini Album"
"23","PENTAGON","Positive"
"24","PENTAGON","SUM(ME:R)"
"25","Red Velvet","Summer Magic - Summer Mini Album"
"26","SEVENTEEN","SEVENTEEN 6TH MINI ALBUM 'YOU MADE MY DAWN'"
"27","SHAUN","Way Back Home (feat. Conor Maynard) [Sam Feldt Edit]"
"28","SHINee","The Story of Light' Epilogue - The 6th Album"
"29","SUNMI","LALALAY 날라리"
"30","SUNMI","SUNMI SPECIAL EDITION [Gashina]"
"31","TAEMIN","WANT - The 2nd Mini Album"
"32","The Rose","Dawn"
"33","Wanna One","1-1=0 (NOTHING WITHOUT YOU)"
