word,n
you,1441
oh,1222
i,1158
yeah,843
na,682
it,612
내,611
me,601
my,576
la,547
난,482
all,414
the,403
더,376
love,374
baby,366
NA,351
we,350
ooh,340
and,337
a,336
날,333
널,324
다,307
이,305
ah,298
넌,297
i'm,291
to,290
go,286
like,276
so,272
up,272
don't,270
know,255
수,255
그,239
내가,233
no,221
나,221
be,213
on,212
night,206
wanna,206
in,200
that,200
네,200
너의,197
해,196
your,189
나를,180
걸,173
우리,173
너와,169
너를,168
now,167
또,165
너,159
right,156
with,152
are,151
지금,151
down,146
모든,145
it's,143
우린,142
나의,141
this,140
want,140
hey,139
what,138
uh,137
거야,135
게,132
out,131
one,128
woo,127
돼,127
for,126
없는,124
let,121
네가,121
everything,119
싶어,119
있어,119
한,119
is,118
you're,118
back,117
got,116
같은,116
안,116
없어,114
feel,112
너무,111
있는,111
내게,109
of,108
see,108
wuh,107
두,106
건,105
밤,105
get,103
봐,103
마,102
come,101
can,100
but,97
말,97
다시,96
make,95
black,94
do,94
just,93
않아,93
can't,90
eh,90
때,90
같아,86
것,86
왜,84
이제,84
let's,83
time,83
ya,83
if,81
stay,81
좀,81
day,80
when,79
twilight,78
없이,78
속에,77
순간,77
say,76
shake,75
need,74
only,74
이젠,74
tonight,73
아냐,73
why,72
할,72
high,71
잘,71
nae,69
i'll,67
keep,67
저,67
deo,65
너는,65
boom,64
나는,64
give,62
whoa,62
가,62
못,62
함께,62
mine,61
10,60
have,60
pop,60
du,59
where,59
오늘,59
beautiful,58
really,58
without,58
좋아,58
boy,57
us,57
곁에,57
girl,56
babe,55
hot,54
later,54
neol,54
touch,54
peek,53
계속,53
해도,53
about,52
again,52
good,52
too,52
모두,52
속,52
원해,52
heart,51
how,51
take,51
that's,51
눈을,51
시간,51
ayy,50
da,50
not,50
나도,50
눈,50
맘,50
매일,50
그냥,49
ba,48
tell,48
woah,48
니,48
아름다운,48
와,48
dumb,47
ha,47
was,47
마음,47
안에,47
이런,47
이렇게,47
될,46
몰라,46
boo,45
show,45
위해,45
always,44
nothing,44
tempo,44
yah,44
눈빛,44
다른,44
조금,44
하고,44
cause,43
gosh,43
think,43
손을,43
언제나,43
at,42
꼭,42
너에게,42
jin,41
said,41
way,41
we're,41
같이,41
그래,41
여기,41
dream,40
nan,40
there,40
네게,40
니가,40
보면,40
싶은,40
있게,40
hold,39
life,39
nct,39
side,39
some,39
것처럼,39
너만,39
때까지,39
맘을,39
번,39
시간이,39
어떤,39
이미,39
的,39
gimme,38
goes,38
goodbye,38
here,38
more,38
나와,38
마치,38
자꾸,38
1,37
feelin,37
trick,37
yo,37
괜찮아,37
맘이,37
멈출,37
뭐,37
않을,37
우릴,37
electric,36
hope,36
our,36
멀리,36
아직,36
줘,36
burn,35
fast,35
ho,35
mess,35
nal,35
ne,35
stop,35
world,35
yeh,35
그저,35
세상,35
손,35
알아,35
오직,35
이대로,35
채,35
하는,35
alright,34
fun,34
seoul,34
것도,34
꿈,34
꿈을,34
만큼,34
an,33
ay,33
better,33
feeling,33
miss,33
never,33
who,33
작은,33
전부,33
我,33
bad,32
breathe,32
bum,32
crazy,32
fly,32
from,32
geu,32
gonna,32
yolo,32
듯,32
라,32
여전히,32
오늘도,32
하나,32
chicken,31
damage,31
even,31
hands,31
k,31
noodle,31
put,31
town,31
turn,31
누가,31
딱,31
말해,31
보고,31
온,31
위로,31
위한,31
bye,30
hit,30
live,30
ma,30
party,30
rm,30
soup,30
그대,30
그런,30
달려,30
사람,30
숨,30
않는,30
영원히,30
진짜,30
테니,30
blah,29
call,29
happy,29
hmm,29
neoreul,29
two,29
가는,29
가득,29
거,29
생각해,29
싶지,29
전에,29
탕진잼,29
하지,29
bae,28
banana,28
ddu,28
eul,28
eyes,28
fire,28
ga,28
hoo,28
nanana,28
new,28
shoot,28
너로,28
늘,28
말고,28
에,28
이게,28
좋은,28
항상,28
ever,27
hate,27
hear,27
jimin,27
look,27
moment,27
neon,27
true,27
그게,27
마셔,27
바로,27
색,27
속에서,27
않게,27
알고,27
정말,27
하늘,27
한두,27
혼자,27
chica,26
de,26
deep,26
girls,26
hangul,26
j,26
jigeum,26
mind,26
perfect,26
rose,26
round,26
su,26
갈,26
것만,26
나만,26
대로,26
듯이,26
못해,26
빠져,26
소리,26
옆에,26
우리가,26
점점,26
차차,26
참,26
close,25
feels,25
into,25
okay,25
real,25
romanization,25
still,25
truth,25
woman,25
wow,25
굳이,25
느낌,25
둘이,25
수가,25
없게,25
이건,25
지나가,25
blue,24
bust,24
ending,24
energetic,24
geol,24
hard,24
kick,24
light,24
motional,24
neo,24
nobody,24
over,24
talk,24
than,24
wo,24
work,24
기분,24
깊이,24
내겐,24
누구,24
달라,24
많이,24
번째,24
불러,24
숨이,24
접근금지야,24
향해,24
eun,23
fall,23
moving,23
ready,23
shine,23
suga,23
will,23
느껴,23
많아,23
말아요,23
말을,23
뭘,23
서로를,23
쉽게,23
아니,23
아마,23
않은,23
알,23
앞에,23
자꾸만,23
줄,23
쩔어,23
친구가,23
필요해,23
body,22
bout,22
e,22
eo,22
everyday,22
ge,22
holiday,22
litty,22
missing,22
naega,22
play,22
snap,22
style,22
끝이,22
내게로,22
다운,22
둘,22
듯한,22
마음을,22
사랑,22
손길,22
아닌,22
아주,22
away,21
bam,21
could,21
derireo,21
en,21
gateun,21
gotta,21
groove,21
luck,21
lucky,21
much,21
가끔,21
그대로,21
높이,21
두고,21
많은,21
밤이,21
벌써,21
보는,21
빛나,21
빛나는,21
뿜뿜,21
예쁜,21
우리의,21
음,21
절대,21
필요,21
ain't,20
anything,20
bring,20
modeun,20
ni,20
please,20
sweet,20
yesterday,20
갈수록,20
걸까,20
기억해,20
긴,20
끼리,20
눈물이,20
됐어,20
마지막,20
말아,20
말이면,20
미움이,20
봐도,20
빛을,20
사랑과,20
아무,20
일,20
있다면,20
테니까,20
你,20
control,19
ring,19
sign,19
spotlight,19
there's,19
trust,19
vibe,19
y,19
young,19
가고,19
걸어,19
어지러워,19
완전,19
as,18
best,18
blackpink,18
gon,18
jungkook,18
lalala,18
myself,18
rain,18
remember,18
retro,18
they,18
til,18
v,18
거기,18
고민보다,18
곳엔,18
그렇게,18
기억,18
길을,18
단,18
마요,18
마음이,18
말이,18
뭐야,18
볼,18
불,18
빛이,18
순간이,18
싫어,18
아,18
않아도,18
위,18
위에,18
잡고,18
터질,18
희망이,18
3,17
au,17
didn't,17
every,17
hae,17
long,17
off,17
precious,17
together,17
vie,17
won't,17
yi,17
나나나,17
나쁜,17
너란,17
눈이,17
된,17
